Session ID,Session Code,Title,Session Type,Level,Format,Speaker Names,Last Update
81592,BRK3164,.NET platform overview and roadmap,Breakout: 75 Minute,Advanced (300),Session,Scott Hanselman,2019-09-12T16:50:17Z
81310,BRK2125,99+% of breaches didn’t occur because technology failed us. It’s time to fix the people problem!,Breakout: 45 Minute,Intermediate (200),Session,Brandon Koeller,2019-09-02T03:00:58Z
81066,BRK4001,A deep-dive into conversational AI using Azure Bot Service and Cognitive Services,Breakout: 45 Minute,Expert (400),Session,,2019-09-12T16:45:12Z
81002,BRK3017,"A developer's guide to Azure Cosmos DB, from onboarding to going live in production",Breakout: 45 Minute,Advanced (300),Session,Deborah Chen,2019-09-02T03:00:58Z
81051,BRK2013,A first look at policy-based security for Azure SQL Database,Breakout: 45 Minute,Intermediate (200),Session,Joachim Hammer;Jakub Szymaszek,2019-09-12T06:15:16Z
81317,BRK1013,A look ahead to the future of Windows 10 Pro and modern devices,Breakout: 45 Minute,Foundational (100),Session,Frank Buchholz;Kurt Stevenson,2019-09-06T18:56:03Z
81612,BRK2075,A look at the future of developer productivity and collaboration,Breakout: 45 Minute,Intermediate (200),Session,Nik Molnar,2019-09-11T23:41:13Z
81955,BRK2145,"A real-world look at Windows Virtual Desktop, the best virtualization experience, delivered on Azure",Breakout: 45 Minute,Intermediate (200),Session,Jon Federico;Pieter Wigleven,2019-09-06T21:30:11Z
81954,BRK3183,Accelerate your RDS and VDI migration to Windows Virtual Desktop,Breakout: 45 Minute,Advanced (300),Session,Pavithra Thiruvengadam;Jon Federico,2019-09-02T03:00:58Z
82942,BRK1070,Accelerating your IT career,Breakout: 45 Minute,Foundational (100),Session,Ned Pyle,2019-09-11T17:45:12Z
81058,BRK3046,Achieving petabyte-scale data ingestion with Azure Data Factory,Breakout: 45 Minute,Advanced (300),Session,Anand Subbaraj;Gaurav Malhotra,2019-09-10T17:21:09Z
82948,BRK3172,Advanced networking best practices with Azure ExpressRoute,Breakout: 45 Minute,Advanced (300),Session,Charley Wen,2019-09-02T03:00:58Z
81072,BRK3032,AI behind call center analytics: Using Azure Cognitive Services to improve customer experiences,Breakout: 45 Minute,Advanced (300),Session,Raymond Laghaeian,2019-09-06T19:25:34Z
79232,BRK3089,AI innovation: Revitalizing the live presentation experience,Breakout: 45 Minute,Advanced (300),Session,Derek Johnson,2019-09-02T03:00:58Z
81068,BRK3030,"AI powered web search with Bing Search APIs, and more",Breakout: 45 Minute,Advanced (300),Session,Brian King,2019-09-02T03:00:58Z
79362,BRK3222,AI-powered analytics in Microsoft Excel: Deep dive into the latest AI-powered capabilities and more to gain deep insights from your data,Breakout: 45 Minute,Advanced (300),Session,,2019-09-11T17:50:44Z
82842,BRK3190,"Analyze, manage, and optimize your cloud cost with Azure Cost Management",Breakout: 45 Minute,Advanced (300),Session,Raphael Chacko;Jim Bragg,2019-09-04T23:05:12Z
81603,BRK3062,API management for microservices in a hybrid and multi-cloud world,Breakout: 45 Minute,Advanced (300),Session,,2019-09-02T03:00:58Z
81591,BRK2067,App development for everyone with Hanselman and friends,Breakout: 75 Minute,Intermediate (200),Session,Scott Hanselman,2019-09-06T03:00:58Z
81598,BRK4006,Applying best practices to Azure Kubernetes Service (AKS),Breakout: 45 Minute,Expert (400),Session,Mohammed Nofal,2019-09-11T23:10:11Z
83450,BRK1057,Architecting an elegant data management strategy with Rubrik,Breakout: 45 Minute,Foundational (100),Partner Led Session,,2019-09-10T00:26:05Z
82841,BRK3189,Architecting SAP landscapes with demanding performance requirements on Azure,Breakout: 45 Minute,Advanced (300),Session,Juergen Thomas,2019-09-02T03:00:58Z
81511,BRK4004,"Architecting your intelligent intranet with SharePoint hubs, branding, and site designs",Breakout: 45 Minute,Expert (400),Session,Melissa Torres,2019-09-02T03:00:58Z
81422,BRK3001,Artificial intelligence in an age of social responsibility,Breakout: 45 Minute,Foundational (100),Session,Jeffrey Snover,2019-09-11T17:50:44Z
81957,BRK3184,Automate and manage your Windows Server environment using Azure Management Services,Breakout: 45 Minute,Advanced (300),Session,John Messec;Dean Wells,2019-09-04T19:00:29Z
83237,BRK3196,Avoid the pitfalls: See how to deploy your native and non-native Microsoft Teams devices correctly,Breakout: 45 Minute,Advanced (300),Partner Led Session,,2019-09-11T17:55:13Z
79464,BRK3195,Azure Active Directory B2B versus multi-tenant apps: Notes from the field,Breakout: 45 Minute,Advanced (300),Session,,2019-09-11T17:50:44Z
79463,BRK3194,Azure Active Directory cloud authentication doesn’t just mean “sign-in”,Breakout: 45 Minute,Advanced (300),Session,,2019-09-11T17:50:44Z
81713,BRK2130,Azure Active Directory: New features and roadmap,Breakout: 45 Minute,Intermediate (200),Session,Melanie Maynes;Alex Simons,2019-09-09T21:05:11Z
81586,BRK3178,Azure automation for managing servers across your environment,Breakout: 45 Minute,Advanced (300),Session,John Messec;Dean Wells,2019-09-02T03:00:58Z
82910,BRK3126,Azure Dedicated Host deep dive,Breakout: 45 Minute,Advanced (300),Session,,2019-09-02T03:00:58Z
81086,BRK2016,Azure Machine Learning and open source: Designed for each other,Breakout: 45 Minute,Intermediate (200),Session,David Aronchik,2019-09-02T03:00:58Z
82924,BRK2142,Azure migration journey: Best practices and open mic Q&A,Breakout: 45 Minute,Intermediate (200),Session,Roan Dealey;Abhishek Hemrajani;Nitasha Verma;Venkata Raj Pochiraju,2019-09-02T03:00:58Z
81625,BRK2151,Azure Pipelines you can trust,Breakout: 45 Minute,Intermediate (200),Session,Sasha Rosenbaum,2019-09-11T23:55:12Z
81045,BRK2009,Azure SQL Database Edge: Overview,Breakout: 45 Minute,Intermediate (200),Session,Sourabh Agarwal;Amit Banerjee,2019-09-02T03:00:58Z
81047,BRK2010,Azure SQL Database Managed Instance: A fully managed SQL Server in the cloud,Breakout: 45 Minute,Intermediate (200),Session,Ajay Jagannathan;Borko Novakovic;Oleg Stakhanov,2019-09-10T19:00:13Z
81049,BRK2011,Azure SQL Database serverless: Providing autoscaling and optimized price-performance for your database workloads,Breakout: 45 Minute,Intermediate (200),Session,Ajay Jagannathan,2019-09-02T03:00:58Z
81046,BRK3027,Azure SQL Database: Maximizing cloud performance and availability,Breakout: 45 Minute,Advanced (300),Session,Ajay Jagannathan,2019-09-02T03:00:58Z
84123,BRK3223,Azure updates: Learn how we update Microsoft Azure and how you can increase control for your environment,Breakout: 45 Minute,Advanced (300),Session,Cristina del Amo Casado,2019-09-11T18:00:13Z
82919,BRK2152,Azure VMware Solutions overview and lessons learned from early adopters,Breakout: 45 Minute,Intermediate (200),Session,Eric Lockard,2019-09-02T03:00:58Z
81963,BRK3116,Best practices and lessons learned from securely operating Microsoft Azure Stack,Breakout: 45 Minute,Advanced (300),Session,Daniel Savage;Filippo Seracini,2019-09-02T03:00:58Z
79338,BRK3090,Best practices for compatibility assessment and Microsoft Office 365 ProPlus upgrades using Office Readiness in Configuration Manager,Breakout: 45 Minute,Advanced (300),Session,,2019-09-12T16:40:50Z
79038,BRK3087,Best practices for deploying and managing Microsoft Office 365 ProPlus,Breakout: 45 Minute,Advanced (300),Session,,2019-09-05T18:25:12Z
81512,BRK4005,Best practices for optimizing performance of SharePoint sites and portals in Microsoft 365,Breakout: 45 Minute,Expert (400),Session,John Fan,2019-09-02T03:00:58Z
81048,BRK3028,"Best, better, Hyperscale: The last database you will ever need in the cloud",Breakout: 45 Minute,Advanced (300),Session,Jared Moore;Alain Dormehl,2019-09-10T17:05:12Z
81596,BRK2181,Bosch: Saving lives with the wrong-way driver warning system using Kubernetes and cloud-native tech,Breakout: 45 Minute,Intermediate (200),Session,Mohammed Nofal,2019-09-11T23:10:11Z
82916,BRK3130,Bring the performance of your Azure applications to the next level,Breakout: 45 Minute,Advanced (300),Session,,2019-09-02T03:00:58Z
79812,BRK2110,Bringing IT and security together: How Microsoft is reinventing threat and vulnerability management,Breakout: 45 Minute,Intermediate (200),Session,Tomer Teller,2019-09-09T21:50:12Z
