Session ID,Session Code,Title,Session Type,Level,Format,Speaker Names,Last Update
83954,THR2149,Accelerate SAP S/4HANA deployment with Microsoft Azure,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
83755,THR2130,Accelerating DevOps scenarios with Microsoft Teams,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
83877,THR3107,Accelerating your onboarding to Microsoft Teams,Theater: 20 Minute,Advanced (300),Session,,2019-09-17T23:45:28Z
83523,THR2178,Adopting the Microsoft Power Platform in the enterprise,Theater: 20 Minute,Intermediate (200),Session,Andrew Welsh,2019-09-17T23:40:12Z
81075,THR2094,AI behind call center transcription: Using Azure Cognitive Services to improve customer experience,Theater: 20 Minute,Intermediate (200),Session,Panos Periorellis,2019-09-17T23:40:12Z
83895,THR2129,AI within reach: Zero code solutions at enterprise scale with Azure Machine Learning [designer],Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
83969,THR2150,APIs and the open banking revolution,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
83393,THR2121,"Automate your business with Nintex, Microsoft Teams, and Microsoft Dynamics 365",Theater: 20 Minute,Intermediate (200),Partner Led Session,,2019-09-17T23:40:12Z
81296,THR4001,"Automate your tasks with Project, Planner, and Microsoft Flow",Theater: 20 Minute,Expert (400),Session,Monika Dragulski,2019-09-17T23:40:12Z
82985,THR2034,Automating build and runtime protection for Azure workloads and applications,Theater: 20 Minute,Intermediate (200),Partner Led Session,Jeff Westphal,2019-09-17T23:40:12Z
83220,APPS11,"Azure and the command line – options, tips and tricks",Theater: 20 Minute,Advanced (300),Session,,2019-09-17T23:40:12Z
83950,THR2151,Azure encryption and key management for enterprise scale,Theater: 20 Minute,Intermediate (200),Session,Jack Richins,2019-09-17T23:45:28Z
81088,THR2020,Azure Machine Learning on the edge: Deploying and running models on IoT devices,Theater: 20 Minute,Intermediate (200),Session,Manash Goswami,2019-09-17T23:40:12Z
83930,THR3108,Azure Migrate: The next evolution,Theater: 20 Minute,Advanced (300),Session,Bharathram Sivaraman,2019-09-17T23:45:28Z
83753,THR3097,Azure SQL Database managed instance disaster recovery architecture best practices,Theater: 20 Minute,Advanced (300),Session,,2019-09-17T23:45:28Z
83875,THR1077,Azure SQL unified creation and management experience,Theater: 20 Minute,Foundational (100),Session,,2019-09-17T23:45:28Z
83958,THR2152,Azure tips and tricks: Become more productive with Microsoft Azure,Theater: 20 Minute,Intermediate (200),Session,Michael Crump,2019-09-17T23:45:28Z
83928,THR3109,Azure VMware Solutions: How to run native VMware workloads in Azure,Theater: 20 Minute,Advanced (300),Session,Sai Chaitanya,2019-09-17T23:45:28Z
83943,THR2135,"Be a Windows Admin Center expert: Best practices for deployment, configuration, and security",Theater: 20 Minute,Intermediate (200),Session,Jeff Woolslayer,2019-09-17T23:45:28Z
83967,THR2153,Best practices and tips for operating and monitoring apps on Azure App Service,Theater: 20 Minute,Intermediate (200),Session,Yutang Lin,2019-09-17T23:45:28Z
83935,THR3110,Big data processing with Spark and .NET,Theater: 20 Minute,Advanced (300),Session,Michael Rys,2019-09-17T23:45:28Z
83867,THR2179,Bring your channels together using the Channel Integration Framework V2,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
81658,THR2125,Build a more engaged and data-driven customer and employee culture with Forms,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:40:12Z
84116,THR2154,Build and deploy your ASP.NET Core application with DevOps in 20 minutes or less,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:45:28Z
81082,THR3009,Build better form recognizer models with a human feedback loop,Theater: 20 Minute,Advanced (300),Session,Florian Luisier,2019-09-17T23:40:12Z
83009,THR3087,Build great Microsoft 365 experiences on the web and beyond,Theater: 20 Minute,Advanced (300),Session,Markus Mielke,2019-09-17T23:40:12Z
81141,THR2022,Build rich visual solutions using Visio APIs to solve real-world problems visually,Theater: 20 Minute,Intermediate (200),Session,,2019-09-17T23:40:12Z
83901,THR3120,Building a golden image pipeline,Theater: 20 Minute,Advanced (300),Partner Led Session,Brad Stevens,2019-09-17T23:45:28Z
83457,THR2118,Building a PowerShell module with Azure Automation,Theater: 20 Minute,Intermediate (200),Partner Led Session,Jaap Brasser,2019-09-17T23:40:12Z
83014,THR3091,Building a Smart Chatbot with the Microsoft Graph Security API,Theater: 20 Minute,Advanced (300),Session,,2019-09-17T23:40:12Z
83011,THR3089,Building great push notifications for your Microsoft 365 users,Theater: 20 Minute,Advanced (300),Session,,2019-09-18T15:21:06Z
84175,THR3130,Building open standards based autonomous drones with Dronecode and AirSim,Theater: 20 Minute,Advanced (300),Session,,2019-09-18T01:45:35Z
83984,THR3121,Building your own deployer machine,Theater: 20 Minute,Advanced (300),Session,Martin Woodward;Gopinath Chigakkagari,2019-09-17T23:45:28Z
83976,THR3122,C# 8: Nullable Reference Types,Theater: 20 Minute,Advanced (300),Session,Mads Torgersen,2019-09-17T23:45:28Z
83977,THR3123,C# 8: The good parts,Theater: 20 Minute,Advanced (300),Session,Mads Torgersen,2019-09-17T23:45:28Z
84303,THR2180,Cloud reliability: Behind the scenes,Theater: 20 Minute,Intermediate (200),Session,Alistair Speirs,2019-09-17T23:45:28Z
83946,THR2155,Clustering in the age of HCI and hybrid,Theater: 20 Minute,Intermediate (200),Session,John Marlin,2019-09-17T23:45:28Z
